feature,importance
fighter1_Weight_lbs,0.04904512
fighter2_Weight_lbs,0.036548313
fighter1_Reach_cms,0.01519073
fighter1_total_time_fought(seconds),0.014443245
fighter2_Reach_cms,0.014224738
fighter1_age,0.014119709
reach_difference,0.013685247
fighter1_avg_BODY_landed,0.0136235785
fighter1_avg_BODY_att,0.013486474
fighter2_avg_opp_BODY_landed,0.012437608
fighter1_avg_opp_CTRL_time(seconds),0.012372447
fighter1_avg_opp_GROUND_att,0.011775931
fighter1_avg_opp_HEAD_landed,0.011666159
fighter2_avg_opp_BODY_att,0.010903412
fighter2_age,0.010419636
fighter2_win_percentage,0.010076077
fighter1_avg_CLINCH_landed,0.009998128
fighter2_avg_TOTAL_STfighter1_landed,0.009697548
fighter1_avg_TD_att,0.009548273
fighter1_win_percentage,0.009337495
fighter2_Height_cms,0.009329654
fighter2_avg_opp_CTRL_time(seconds),0.009123248
fighter1_current_lose_streak,0.009112793
fighter2_avg_opp_HEAD_landed,0.008999272
fighter1_avg_opp_BODY_att,0.008839828
fighter2_avg_opp_GROUND_att,0.0087897
fighter1_avg_opp_TD_pct,0.008665167
fighter1_avg_CTRL_time(seconds),0.00863155
fighter1_win_by_KO/TKO,0.008371976
fighter2_avg_TD_att,0.008252517
fighter1_losses,0.008170862
fighter2_avg_opp_LEG_att,0.008158575
fighter2_avg_opp_TD_pct,0.00808019
fighter1_avg_opp_SIG_STfighter1_pct,0.0080054775
fighter1_avg_SIG_STfighter1_pct,0.007880938
fighter1_Height_cms,0.007814508
fighter1_avg_CLINCH_att,0.0077594924
height_difference,0.007754237
fighter1_avg_opp_BODY_landed,0.0074842493
fighter2_total_time_fought(seconds),0.0073836516
fighter2_avg_BODY_landed,0.0073737004
fighter1_avg_DISTANCE_att,0.0073239855
fighter2_avg_opp_GROUND_landed,0.007300912
fighter2_avg_SIG_STfighter1_pct,0.0072936346
fighter1_avg_HEAD_att,0.007261119
fighter1_avg_TOTAL_STfighter1_landed,0.00725426
fighter1_avg_opp_KD,0.0072449753
fighter2_avg_opp_TD_att,0.007227911
weight_difference,0.0072221044
fighter1_avg_opp_TD_att,0.0071947966
fighter1_avg_opp_TD_landed,0.00710475
fighter1_longest_win_streak,0.0070991465
fighter1_avg_TD_pct,0.0070105023
fighter1_avg_SUfighter2_ATT,0.006948011
fighter1_avg_DISTANCE_landed,0.006938048
fighter1_avg_opp_REV,0.006883994
fighter2_avg_TD_pct,0.0068463045
fighter1_win_by_Decision_Split,0.0068295826
