fighter1_wins,fighter2_wins,fighter1_losses,fighter2_losses,fighter1_height,fighter2_height,fighter1_weight,fighter2_weight,fighter1_reach,fighter2_reach,fighter1_age,fighter2_age,fighter1_SLpM,fighter2_SLpM,fighter1_sig_str_acc,fighter2_sig_str_acc,fighter1_SApM,fighter2_SApM,fighter1_str_def,fighter2_str_def,fighter1_td_avg,fighter2_td_avg,fighter1_td_acc,fighter2_td_acc,fighter1_td_def,fighter2_td_def,fighter1_sub_avg,fighter2_sub_avg,height_diff,weight_diff,reach_diff,win_rate_diff,td_avg_diff,SLpM_diff,sub_avg_diff,fighter1_won,fighter1_name,fighter2_name,fighter1_stance,fighter2_stance
14.0,19.0,10.0,9.0,177.8,172.72,61.23,65.77,182.88,175.26,33.0,28.0,4.68,6.75,0.35,0.53,4.62,2.34,0.58,0.78,0.74,0.0,0.42,0.0,0.57,0.0,0.1,0.0,5.0800000000000125,-4.539999999999999,7.6200000000000045,-0.09523809523809523,0.74,-2.0700000000000003,0.1,0,Brandon Davis,Morgan Charriere,Orthodox,Orthodox
24.0,8.0,17.0,3.0,167.64,172.72,70.31,61.23,180.34,,49.0,40.0,1.78,2.95,0.39,0.25,2.85,5.02,0.55,0.59,1.53,2.82,0.36,0.3,0.37,0.0,2.4,0.0,-5.0800000000000125,9.080000000000005,,-0.14190687361419074,-1.2899999999999998,-1.1700000000000002,2.4,0,Hermes Franca,Alex Soto,Orthodox,Southpaw
4.0,9.0,5.0,2.0,175.26,172.72,83.91,70.31,,,53.0,44.0,1.21,1.26,0.75,0.31,6.44,4.84,0.2,0.48,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,2.539999999999992,13.599999999999994,,-0.3737373737373738,0.0,-0.050000000000000044,0.0,0,Lance Gibson,Jorge de Oliveira,Orthodox,Orthodox
9.0,5.0,7.0,3.0,200.66,185.42,117.03,92.99,203.2,190.5,37.0,39.0,3.28,1.32,0.45,0.46,3.61,3.39,0.45,0.44,0.0,2.83,0.0,0.33,0.27,0.5,0.4,0.0,15.240000000000009,24.040000000000006,12.699999999999989,-0.0625,-2.83,1.9599999999999997,0.4,0,Maurice Greene,Daniel Jolly,Orthodox,Orthodox
4.0,14.0,6.0,9.0,185.42,162.56,92.99,56.7,,167.64,55.0,35.0,0.0,5.24,0.0,0.43,0.0,5.86,0.0,0.52,0.0,1.3,0.0,0.19,0.0,0.75,0.0,0.2,22.859999999999985,36.28999999999999,,-0.20869565217391306,-1.3,-5.24,-0.2,0,Satoshi Honma,Zhalgas Zhumagulov,Orthodox,Switch
20.0,11.0,5.0,6.0,190.5,175.26,83.91,70.31,190.5,187.96,27.0,40.0,5.19,2.76,0.5,0.54,5.01,2.83,0.51,0.54,0.0,2.1,0.0,0.25,0.57,0.5,0.0,0.0,15.240000000000009,13.599999999999994,2.539999999999992,0.15294117647058825,-2.1,2.4300000000000006,0.0,1,Ihor Potieria,Caros Fodor,Southpaw,Orthodox
4.0,5.0,5.0,0.0,167.64,185.42,56.7,83.91,175.26,193.04,34.0,28.0,3.34,2.76,0.37,0.62,5.2,0.55,0.5,0.75,0.84,11.04,0.5,0.5,0.14,0.0,0.0,13.8,-17.78,-27.209999999999994,-17.78,-0.5555555555555556,-10.2,0.5800000000000001,-13.8,0,Shana Dobson,Bo Nickal,Orthodox,Southpaw
27.0,0.0,19.0,1.0,180.34,180.34,102.06,90.26,,,54.0,,1.88,0.0,0.38,0.0,4.41,0.0,0.54,0.0,1.32,0.0,0.2,0.0,0.33,0.0,0.4,0.0,0.0,11.799999999999997,,0.5869565217391305,1.32,1.88,0.4,0,Tsuyoshi Kohsaka,Ernie Verdicia,Orthodox,Orthodox
11.0,12.0,3.0,6.0,182.88,177.8,70.31,70.31,,190.5,44.0,29.0,1.73,3.22,0.24,0.5,3.55,5.87,0.66,0.4,0.7,1.5,0.33,0.26,1.0,0.47,0.0,1.2,5.079999999999984,0.0,,0.11904761904761907,-0.8,-1.4900000000000002,-1.2,1,Jason Novelli,Kamuela Kirk,Orthodox,Switch
7.0,0.0,3.0,1.0,175.26,185.42,77.11,90.72,,,46.0,,0.0,0.0,0.0,0.0,1.73,0.0,0.43,0.0,1.0,0.0,0.1,0.0,0.0,0.0,2.0,0.0,-10.159999999999997,-13.61,,0.7,1.0,0.0,2.0,1,Nick Serra,John Dowdy,Orthodox,Unknown
