fighter1_wins,fighter1_losses,fighter1_height,fighter1_weight,fighter1_reach,fighter1_stance,fighter1_age,fighter1_SLpM,fighter1_sig_str_acc,fighter1_SApM,fighter1_str_def,fighter1_td_avg,fighter1_td_acc,fighter1_td_def,fighter1_sub_avg,fighter2_wins,fighter2_losses,fighter2_height,fighter2_weight,fighter2_reach,fighter2_stance,fighter2_age,fighter2_SLpM,fighter2_sig_str_acc,fighter2_SApM,fighter2_str_def,fighter2_td_avg,fighter2_td_acc,fighter2_td_def,fighter2_sub_avg,height_diff,weight_diff,reach_diff,win_rate_diff,td_avg_diff,SLpM_diff,sub_avg_diff,fighter1_won
11.0,2.0,175.26,65.77,175.26,Orthodox,39.0,2.79,0.46,1.47,0.63,2.37,0.26,0.16,2.4,9.0,2.0,175.26,77.11,,Orthodox,,2.2,0.35,3.33,0.48,3.0,0.75,0.25,2.0,0.0,-11.340000000000003,,0.0357142857142857,-0.6299999999999999,0.5899999999999999,0.3999999999999999,0
8.0,2.0,190.5,83.91,,Orthodox,46.0,0.36,0.15,3.28,0.32,0.9,1.0,0.42,1.8,6.0,2.0,185.42,113.4,,Orthodox,46.0,2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0,5.0800000000000125,-29.49000000000001,,0.06060606060606066,-1.67,-2.5500000000000003,1.8,0
1.0,4.0,180.34,92.99,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,177.8,77.11,,Orthodox,45.0,0.0,0.0,1.25,0.33,0.0,0.0,0.0,0.0,2.539999999999992,15.879999999999995,,-0.23333333333333336,0.0,0.0,0.0,0
8.0,2.0,182.88,70.31,195.58,Orthodox,39.0,5.4,0.5,1.8,0.59,1.0,1.0,0.71,0.0,7.0,5.0,187.96,77.11,187.96,Switch,32.0,2.94,0.46,4.25,0.49,1.21,0.3,0.36,1.9,-5.0800000000000125,-6.799999999999997,7.6200000000000045,0.18881118881118886,-0.20999999999999996,2.4600000000000004,-1.9,0
9.0,5.0,177.8,77.11,,Orthodox,41.0,0.71,0.27,2.03,0.25,1.52,0.4,0.58,0.0,9.0,2.0,182.88,83.91,,Orthodox,41.0,1.5,0.35,4.43,0.37,1.0,0.5,0.28,0.5,-5.079999999999984,-6.799999999999997,,-0.15000000000000002,0.52,-0.79,-0.5,0
9.0,3.0,154.94,52.16,154.94,Orthodox,28.0,4.1,0.57,2.48,0.53,1.9,0.5,0.72,0.1,15.0,2.0,170.18,56.7,177.8,Southpaw,32.0,3.22,0.45,3.3,0.51,3.71,0.46,0.61,2.1,-15.240000000000009,-4.540000000000006,-22.860000000000014,-0.14102564102564108,-1.81,0.8799999999999994,-2.0,0
15.0,4.0,190.5,92.99,193.04,Orthodox,39.0,1.31,0.31,1.92,0.69,6.39,0.54,0.25,0.2,13.0,5.0,190.5,70.31,193.04,Orthodox,37.0,4.13,0.39,3.31,0.6,0.26,0.33,0.57,0.7,0.0,22.679999999999993,0.0,0.06578947368421051,6.13,-2.82,-0.49999999999999994,1
37.0,10.0,180.34,83.91,,Orthodox,43.0,1.67,0.55,0.53,0.86,1.0,1.0,0.71,3.0,15.0,3.0,177.8,56.7,182.88,Orthodox,32.0,2.33,0.48,4.29,0.4,0.87,0.75,0.78,0.3,2.539999999999992,27.209999999999994,,-0.018640350877192957,0.13,-0.6600000000000001,2.7,0
18.0,10.0,172.72,70.31,182.88,Switch,38.0,2.88,0.38,2.98,0.57,2.04,0.41,0.6,0.2,15.0,9.0,175.26,83.91,,Orthodox,50.0,2.72,0.42,6.17,0.57,0.0,0.0,0.75,0.0,-2.539999999999992,-13.599999999999994,,0.020689655172413834,2.04,0.1599999999999997,0.2,1
28.0,17.0,185.42,92.99,182.88,Orthodox,60.0,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5,4.0,1.0,185.42,90.26,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7299999999999898,,-0.05797101449275355,0.94,1.47,2.5,1
