2025-03-04 21:49:36,557 - ufc_model - INFO - Starting data preprocessing
2025-03-04 21:49:36,571 - ufc_model - INFO - Preprocessed data shape: (6012, 140)
2025-03-04 21:49:36,571 - ufc_model - INFO - Using device: cpu
2025-03-04 21:49:36,573 - ufc_model - INFO - Preparing data for training with comprehensive bias mitigation
2025-03-04 21:49:36,574 - ufc_model - INFO - Creating comprehensive physical attribute features
2025-03-04 21:49:36,574 - ufc_model - INFO - Creating comprehensive fighter comparison features
2025-03-04 21:49:36,601 - ufc_model - INFO - Data split before augmentation: Train: 4208, Validation: 902, Test: 902
2025-03-04 21:49:36,601 - ufc_model - INFO - Applying position swap augmentation to training data only
2025-03-04 21:49:36,616 - ufc_model - INFO - Adding 1 swapped versions per original sample
2025-03-04 21:49:36,640 - ufc_model - INFO - Augmented training data size: 10884 samples
2025-03-04 21:49:36,640 - ufc_model - INFO - Class distribution after augmentation: Wins: 4208, Losses: 4208
2025-03-04 21:49:36,764 - ufc_model - INFO - Data preparation complete
2025-03-04 21:49:36,768 - ufc_model - INFO - Starting training with NaN-resistant parameters
2025-03-04 21:49:36,774 - ufc_model - WARNING - NaN loss detected in batch 0, skipping
2025-03-04 21:49:36,774 - ufc_model - WARNING - NaN loss detected in batch 1, skipping
2025-03-04 21:49:36,775 - ufc_model - WARNING - NaN loss detected in batch 2, skipping
2025-03-04 21:49:36,775 - ufc_model - WARNING - NaN loss detected in batch 3, skipping
2025-03-04 21:49:36,776 - ufc_model - WARNING - NaN loss detected in batch 4, skipping
2025-03-04 21:49:36,777 - ufc_model - WARNING - NaN loss detected in batch 5, skipping
2025-03-04 21:49:36,777 - ufc_model - WARNING - NaN loss detected in batch 6, skipping
2025-03-04 21:49:36,778 - ufc_model - WARNING - NaN loss detected in batch 7, skipping
2025-03-04 21:49:36,779 - ufc_model - WARNING - NaN loss detected in batch 8, skipping
2025-03-04 21:49:36,779 - ufc_model - WARNING - NaN loss detected in batch 9, skipping
2025-03-04 21:49:36,780 - ufc_model - WARNING - NaN loss detected in batch 10, skipping
